date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-06-23,21.2,50.6034429839953,67,28,43,23,24,-54,-59,-51,-27,-62
2020-06-24,19.1,61.7861164385133,60,20,37,19,25,-53,-57,-52,-23,-61
2020-06-25,19.8,62.158076357557,55,15,23,15,25,-53,-57,-53,-23,-61
2020-06-26,21.3,57.4657980159433,40,18,46,15,26,-49,-56,-50,-20,-62
2020-06-27,21.3,62.4768639605552,50,39,74,17,16,-20,-49,-51,-19,-62
2020-06-28,22.7,56.0821912649684,79,35,57,14,12,-11,-48,-53,-24,-63
2020-06-29,21.85,53.8623044054456,61,33,51,20,22,-50,-54,-49,-21,-56
2020-06-30,21.3,56.1413844839322,68,30,65,21,22,-51,-54,-45,-13,-52
2020-07-01,20.4,61.0429065007144,64,21,49,17,22,-51,-53,-46,-13,-52
2020-07-02,21.2,53.6015778265967,39,36,58,18,22,-52,-53,-45,-15,-53
2020-07-03,18.9,56.7150237033735,65,28,44,18,23,-48,-52,-48,-15,-56
2020-07-04,20.2,57.583635647937,47,30,59,18,15,-18,-45,-51,-16,-56
2020-07-05,19.1,67.0944602079645,62,29,61,18,11,-11,-44,-55,-22,-57
2020-07-06,17.6,78.2650353043336,73,21,53,24,21,-50,-51,-46,-20,-53
2020-07-07,21.9,48.509575691105,57,16,34,17,22,-52,-54,-45,-19,-53
2020-07-08,20.3,54.6584647477008,43,13,20,17,22,-51,-53,-46,-20,-52
2020-07-09,19.1,62.3337198923008,37,19,44,22,23,-51,-53,-49,-24,-54
2020-07-10,20.3,50.835491214079,50,31,46,27,23,-47,-51,-45,-17,-54
2020-07-11,19.7,60.5743074012691,61,20,37,15,14,-16,-44,-47,-17,-53
2020-07-12,23.7,49.2390717758033,50,19,47,14,11,-9,-43,-52,-24,-55
2020-07-13,19.1,61.3865968384588,45,23,57,21,20,-49,-51,-43,-20,-50
2020-07-14,22.4,46.4746065769413,52,29,65,23,21,-51,-52,-44,-19,-47
2020-07-15,21.5,55.293815372129,53,26,56,22,21,-49,-50,-42,-12,-44
2020-07-16,21.5,52.0653030006005,45,39,55,20,21,-50,-50,-41,-13,-46
2020-07-17,21.1,48.8728425588334,63,43,50,17,21,-46,-50,-44,-15,-50
2020-07-18,18.1,69.9730638830045,58,33,48,18,13,-15,-42,-45,-15,-49
2020-07-19,23.75,44.2241441594992,60,33,49,15,9,-8,-41,-48,-20,-49
2020-07-20,19.95,49.9999212384817,61,35,73,25,19,-48,-50,-42,-19,-47
2020-07-21,20.6,59.2293349966077,69,31,56,22,21,-50,-51,-40,-19,-46
2020-07-22,21.3,56.4925899303342,60,12,58,21,21,-49,-51,-41,-19,-47
2020-07-23,20.2,58.7253806125299,43,NaN,63,19,21,-49,-51,-41,-19,-48
2020-07-25,19.55,64.1256101408848,55,30,67,21,13,-16,-42,-45,-19,-50
2020-07-26,17.2,83.1859870034749,65,16,36,20,10,-10,-42,-51,-25,-51
2020-07-27,19.7,65.4281811380002,41,23,42,19,19,-48,-50,-40,-20,-48
2020-07-28,24.9,52.1672816651466,48,13,29,13,20,-49,-51,-40,-20,-47
2020-07-29,20.5,67.3009389969406,31,19,26,21,21,-50,-51,-44,-20,-46
2020-07-30,22.5,51.5924691836167,42,36,56,25,20,-50,-49,-42,-16,-44
2020-07-31,21.4,62.0547082233739,78,22,32,22,21,-46,-47,-45,-14,-46
2020-08-01,16.8,79.231813908245,50,8,39,26,12,-15,-39,-43,-10,-44
2020-08-02,18.1,76.1291251277446,23,5,35,18,9,-8,-37,-48,-17,-44
