date,med_temp,med_hum,pm25,pm10,home,work,transit,parks,grocery,retail
2020-05-09,19.2,90.2751763088551,70,21,15,-30,-56,-48,-5,-52
2020-05-10,19.6,92.8303945431897,42,20,10,-10,-64,-58,-19,-61
2020-05-11,23.4,79.0221898668087,54,23,22,-45,-60,-51,-23,-54
2020-05-12,24.4,72.4808148201772,33,31,22,-46,-62,-48,-19,-52
2020-05-13,25.6,78.2076724091882,61,32,23,-47,-63,-44,-19,-51
2020-05-14,25.1,87.6756486694094,60,21,23,-47,-63,-44,-15,-50
2020-05-15,30.2,57.5063477829117,50,46,22,-42,-57,-42,-6,-47
2020-05-17,22.8,62.7253202605246,85,28,11,-20,-61,-55,-18,-57
2020-05-18,27.9,65.0818466279122,52,37,20,-41,-56,-44,-16,-48
2020-05-19,29,57.2909782801935,55,43,21,-44,-59,-44,-16,-48
2020-05-20,30.2,54.7339758940868,65,52,21,-44,-59,-41,-16,-48
2020-05-21,29.6,58.2866397830916,77,43,22,-45,-59,-42,-16,-50
2020-05-22,27.6,73.3578404045974,93,40,21,-40,-54,-42,-9,-49
2020-05-24,25.9,77.2341164764726,66,25,11,-18,-57,-53,-20,-57
2020-05-25,23.6,82.1046343562603,60,32,19,-40,-53,-42,-16,-48
2020-05-26,26.9,74.3614859849651,64,17,20,-41,-61,-46,-18,-49
2020-05-27,23.8,87.545288215485,46,31,20,-41,-61,-38,-17,-47
2020-05-28,25.2,80.4419242578157,51,40,20,-41,-61,-38,-13,-45
2020-05-29,25.9,61.991714945091,66,29,19,-37,-55,-39,-4,-44
2020-05-31,23,83.366126145797,49,25,10,-9,-55,-51,-13,-51
2020-06-01,21.2,93.1789269712734,52,31,16,-34,-51,-39,-6,-40
2020-06-02,23,97.0251355797748,48,22,17,-37,-55,-39,-9,-41
2020-06-03,25.6,79.1010048229443,36,28,18,-37,-56,-33,-12,-42
2020-06-04,24.8,82.5028112170889,45,18,18,-38,-57,-35,-12,-43
2020-06-05,28.4,72.5876777640104,46,27,17,-34,-53,-37,-6,-43
2020-06-06,24.8,84.0261471914088,51,24,10,-16,-48,-37,-3,-44
2020-06-07,29,54.8079564379081,43,22,8,-9,-52,-45,-15,-50
2020-06-08,28.4,66.2527475710153,37,36,16,-33,-52,-38,-12,-43
2020-06-09,31.6,59.2292364285243,47,54,16,-36,-56,-41,-14,-43
2020-06-10,23.3,78.3954327807963,71,23,16,-37,-57,-34,-13,-42
2020-06-11,24.9,84.8589292959282,52,25,19,-38,-58,-42,-15,-45
2020-06-12,21.6,96.4204244621315,52,30,16,-32,-50,-33,-3,-39
2020-06-13,26,59.5310663561613,50,24,9,-13,-45,-33,-1,-40
2020-06-14,24.2,65.8799178539489,44,22,7,-3,-49,-41,-11,-45
2020-06-15,27.8,50.4026506926853,47,28,14,-31,-48,-30,-5,-35
2020-06-16,27,57.7941011534661,50,NaN,15,-34,-51,-31,-4,-35
2020-06-17,27.2,68.097648498682,NaN,22,16,-35,-53,-26,-8,-35
2020-06-18,25,89.2421280515783,45,28,16,-36,-53,-28,-8,-37
2020-06-19,27.4,61.718739168013,47,32,14,-31,-48,-28,-2,-36
2020-06-20,24.7,84.1395080382145,49,26,7,-11,-41,-30,3,-36
2020-06-21,30.4,63.194724517402,53,28,4,9,-48,-44,-9,-46
2020-06-22,28.4,67.4240509936029,57,39,15,-34,-49,-33,-13,-40
2020-06-23,31.6,58.8699730598091,61,43,15,-36,-53,-32,-12,-40
2020-06-24,30,62.294213899058,70,47,16,-36,-54,-33,-14,-39
2020-06-26,25,84.5099656120794,56,28,16,-32,-49,-31,-5,-40
2020-06-27,24.8,86.0448721039708,51,63,9,-14,-43,-36,-4,-40
2020-06-28,25,92.3057894186174,95,36,8,-4,-47,-41,-14,-45
2020-06-29,24.2,95.3149657146789,58,42,15,-33,-47,-33,-9,-37
2020-06-30,26.8,89.363949084937,63,57,15,-34,-50,-30,-2,-32
2020-07-01,28.6,78.1589154858895,86,62,15,-36,-51,-27,-2,-31
2020-07-02,27.6,78.3989023683841,90,60,16,-37,-51,-31,-4,-36
2020-07-03,30.4,65.0227363859299,94,60,16,-33,-47,-36,-1,-38
2020-07-04,26.1,78.42058537121,85,45,13,-21,-51,-46,-8,-52
2020-07-06,31.4,47.8972041935495,55,46,15,-35,-47,-37,-10,-39
2020-07-07,29.3,65.5488429761801,64,48,16,-38,-52,-36,-10,-39
2020-07-08,26.9,80.647256702378,77,48,17,-38,-54,-33,-12,-39
2020-07-09,32.2,57.2291787078574,75,46,17,-38,-53,-35,-12,-41
2020-07-10,29.6,58.8142754387261,72,46,16,-34,-49,-36,-6,-40
2020-07-11,32.8,53.6420558367136,68,38,11,-20,-49,-42,-7,-50
2020-07-13,34.4,35.6336349926639,49,49,15,-35,-49,-38,-11,-39
2020-07-14,28.2,60.3201816451526,55,52,16,-38,-53,-37,-8,-37
2020-07-15,31.2,52.0741263276002,66,56,16,-37,-52,-30,-4,-33
2020-07-16,29.2,58.3681301194089,77,61,16,-38,-53,-34,-6,-35
2020-07-17,32.9,57.9760832589203,80,64,16,-34,-47,-36,-4,-37
2020-07-18,26.5,75.9947435329583,84,54,12,-21,-47,-46,-9,-49
2020-07-21,26.4,76.8299381775151,68,51,16,-38,-52,-37,-10,-37
2020-07-22,25.6,78.4037004459226,68,39,17,-38,-53,-32,-12,-38
2020-07-23,28.5,69.3741086784869,57,31,17,-38,-53,-34,-12,-39
2020-07-24,28.9,68.2088615271481,43,28,16,-34,-48,-37,-6,-39
2020-07-25,28.4,74.8139536910717,40,34,13,-22,-49,-46,-6,-50
2020-07-28,23.2,96.425228940154,43,22,17,-39,-52,-49,-14,-39
2020-07-29,22.8,93.5492446403293,47,27,17,-38,-52,-37,-9,-33
2020-07-30,23.8,85.9568481647566,49,27,16,-38,-51,-35,-7,-31
2020-07-31,28,72.086395246346,50,56,14,-33,-44,-35,1,-29
2020-08-01,25.8,90.1415463425991,74,26,10,-17,-43,-42,0,-41
