date,med_temp,med_hum,pm25,o3,home,work,transit,parks,grocery,retail
2020-06-18,23.75,54.2190483291456,82,67,14,-32,-41,-29,-7,-33
2020-06-19,27.2,42.7053420814498,83,52,12,-27,-40,-29,-3,-32
2020-06-20,22.3,72.2844335296582,66,59,8,-7,-36,-26,3,-33
2020-06-21,21.7,65.8192915127966,97,72,5,8,-44,-38,-8,-40
2020-06-22,18.35,92.1883430882056,55,60,12,-28,-41,-36,-14,-35
2020-06-23,19.8,77.3574491297402,54,41,13,-33,-40,-30,-9,-33
2020-06-24,24.1,57.9782386614273,53,32,13,-32,-41,-30,-11,-33
2020-06-25,24.4,54.1069562512119,54,24,14,-32,-43,-31,-10,-34
2020-06-26,21,79.2539701640954,54,17,14,-28,-42,-30,-6,-33
2020-06-27,21,75.514909661221,50,31,8,-9,-38,-24,-3,-35
2020-06-28,20.2,82.5010592613164,77,31,7,-2,-43,-30,-12,-39
2020-06-29,22.4,65.1176949810315,64,42,11,-25,-40,-30,-8,-31
2020-06-30,21.75,73.4541216850108,54,49,12,-31,-39,-31,-5,-29
2020-07-01,22.7,69.0096891406728,83,35,12,-32,-38,-31,-5,-28
2020-07-02,18.75,92.1988775211887,58,46,13,-32,-39,-28,-4,-28
2020-07-03,23.1,65.7105496461951,48,36,12,-28,-41,-26,-1,-28
2020-07-04,21.7,72.7611583714917,64,40,7,-9,-39,-24,-1,-32
2020-07-05,20.5,73.6175006584499,80,51,6,-4,-42,-28,-10,-37
2020-07-06,28,49.9588275788138,56,69,11,-26,-41,-31,-8,-30
2020-07-07,21.1,86.2486753015068,70,45,12,-33,-42,-28,-7,-30
2020-07-08,21.35,77.0781987718718,60,28,13,-32,-44,-33,-11,-32
2020-07-09,19.85,78.6035000974317,43,24,13,-32,-42,-32,-9,-32
2020-07-10,21,70.7436197145886,56,25,12,-28,-38,-27,-3,-30
2020-07-11,23.4,64.0798765505344,38,13,7,-9,-35,-27,-4,-35
2020-07-12,23.8,57.1944760078048,36,NaN,7,-5,-41,-35,-15,-41
2020-07-13,19,86.069467596092,NaN,56,11,-27,-38,-31,-10,-32
2020-07-14,22.5,65.1372262068129,71,38,11,-33,-39,-28,-8,-29
2020-07-15,26,57.6802689560102,55,42,11,-31,-37,-29,-5,-26
2020-07-16,20.1,84.1154679929066,72,60,12,-32,-39,-28,-4,-27
2020-07-17,24.5,58.4601815585489,63,50,12,-28,-38,-27,-2,-28
2020-07-18,21.15,72.902996216552,54,18,7,-10,-35,-27,-3,-32
2020-07-19,17.1,86.4096711547786,53,52,6,-4,-39,-31,-11,-37
2020-07-20,18.8,78.212034254947,66,51,11,-27,-38,-29,-8,-29
2020-07-21,19.3,83.3591787843733,62,12,11,-33,-39,-27,-9,-29
2020-07-22,24.85,52.4536092280041,14,34,12,-32,-39,-30,-11,-30
2020-07-23,21.1,72.5698088401049,93,39,13,-32,-40,-32,-11,-31
2020-07-24,18.65,93.3737565999366,58,20,12,-28,-38,-30,-6,-30
2020-07-25,22.3,73.4363049565459,42,NaN,7,-10,-33,-25,-5,-34
2020-07-26,18.8,86.5876790622099,NaN,42,6,-5,-39,-28,-11,-37
2020-07-27,22.75,66.7548493681786,61,26,11,-27,-37,-29,-10,-30
2020-07-28,19.5,82.6850276461923,40,38,12,-33,-39,-30,-12,-31
2020-07-29,19.5,89.6914180453438,51,12,13,-34,-40,-36,-13,-30
2020-07-30,19.8,89.99173016683,40,24,12,-33,-36,-30,-7,-26
2020-07-31,18.2,91.033453416584,48,12,12,-29,-36,-28,-1,-25
2020-08-01,19.9,89.2039392519611,25,30,6,-10,-29,-23,1,-28
2020-08-02,20.8,77.008231951016,71,35,6,-6,-35,-28,-8,-33
