date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-07-03,18.9,56.7150237033735,68,26,61,8,23,-48,-52,-48,-15,-56
2020-07-04,20.2,57.583635647937,50,25,75,9,15,-18,-45,-51,-16,-56
2020-07-05,19.1,67.0944602079645,58,18,67,9,11,-11,-44,-55,-22,-57
2020-07-06,17.6,78.2650353043336,49,14,54,13,21,-50,-51,-46,-20,-53
2020-07-07,21.9,48.509575691105,37,12,36,11,22,-52,-54,-45,-19,-53
2020-07-08,20.3,54.6584647477008,32,9,21,8,22,-51,-53,-46,-20,-52
2020-07-09,19.1,62.3337198923008,25,18,61,15,23,-51,-53,-49,-24,-54
2020-07-10,20.3,50.835491214079,47,18,60,13,23,-47,-51,-45,-17,-54
2020-07-11,19.7,60.5743074012691,39,15,41,7,14,-16,-44,-47,-17,-53
2020-07-12,23.7,49.2390717758033,36,14,59,7,11,-9,-43,-52,-24,-55
2020-07-13,19.1,61.3865968384588,36,16,71,11,20,-49,-51,-43,-20,-50
2020-07-14,22.4,46.4746065769413,38,24,84,12,21,-51,-52,-44,-19,-47
2020-07-15,21.5,55.293815372129,54,26,75,13,21,-49,-50,-42,-12,-44
2020-07-16,21.5,52.0653030006005,58,30,75,11,21,-50,-50,-41,-13,-46
2020-07-17,21.1,48.8728425588334,57,35,57,11,21,-46,-50,-44,-15,-50
2020-07-18,18.1,69.9730638830045,58,34,62,9,13,-15,-42,-45,-15,-49
2020-07-19,23.75,44.2241441594992,66,30,57,9,9,-8,-41,-48,-20,-49
2020-07-20,19.95,49.9999212384817,62,21,66,14,19,-48,-50,-42,-19,-47
2020-07-21,20.6,59.2293349966077,51,20,74,13,21,-50,-51,-40,-19,-46
2020-07-22,21.3,56.4925899303342,50,16,89,14,21,-49,-51,-41,-19,-47
2020-07-23,20.2,58.7253806125299,44,26,82,11,21,-49,-51,-41,-19,-48
2020-07-25,19.55,64.1256101408848,48,20,79,12,13,-16,-42,-45,-19,-50
2020-07-26,17.2,83.1859870034749,56,10,35,10,10,-10,-42,-51,-25,-51
2020-07-27,19.7,65.4281811380002,32,13,41,12,19,-48,-50,-40,-20,-48
2020-07-28,24.9,52.1672816651466,33,12,26,12,20,-49,-51,-40,-20,-47
2020-07-29,20.5,67.3009389969406,38,15,25,16,21,-50,-51,-44,-20,-46
2020-07-30,22.5,51.5924691836167,46,23,23,15,20,-50,-49,-42,-16,-44
2020-07-31,21.4,62.0547082233739,58,17,NaN,13,21,-46,-47,-45,-14,-46
2020-08-01,16.8,79.231813908245,47,13,NaN,12,12,-15,-39,-43,-10,-44
2020-08-02,18.1,76.1291251277446,39,19,NaN,8,9,-8,-37,-48,-17,-44
