date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-07-08,38.5,13.5671685408588,40,44,51,3,14,-30,-38,-22,-6,-37
2020-07-09,37.5,10.628424262528,42,64,50,7,14,-31,-36,-21,-4,-37
2020-07-10,38,18.2541170659053,43,44,44,7,14,-29,-35,-19,0,-38
2020-07-11,35.5,34.4077015161424,47,46,35,7,10,-13,-33,-28,-2,-40
2020-07-12,40,19.9613191953172,52,35,60,4,9,-11,-33,-32,-9,-43
2020-07-13,41.5,13.5924678442188,38,40,46,5,12,-29,-38,-22,-6,-37
2020-07-14,40,16.5309287841326,37,49,43,6,13,-30,-38,-20,-4,-36
2020-07-15,38,9.68728609528622,49,33,47,4,13,-30,-38,-20,-1,-32
2020-07-16,38,15.7220634259262,24,38,43,6,13,-30,-36,-21,-1,-33
2020-07-17,37,30.798161923558,31,35,36,4,13,-29,-36,-19,2,-35
2020-07-18,39,21.1341804099945,35,30,41,3,9,-12,-31,-25,0,-37
2020-07-19,42,5.98742944232954,33,26,31,1,8,-10,-33,-26,-6,-40
2020-07-20,39,9.15580686309171,15,43,61,8,12,-29,-37,-20,-4,-34
2020-07-21,38,32.8335551298456,36,45,33,5,13,-30,-39,-18,-3,-34
2020-07-22,38,26.5582531146299,49,41,33,3,13,-29,-39,-21,-5,-34
2020-07-23,36.5,26.9662577943322,40,39,37,3,13,-29,-37,-18,-3,-34
2020-07-24,34,36.2210396000569,40,39,39,4,13,-27,-38,-17,2,-35
2020-07-25,36.5,24.4790296282773,42,31,42,4,9,-12,-35,-20,1,-36
2020-07-26,39.5,11.7228230778634,31,28,38,5,8,-9,-35,-20,-6,-38
2020-07-27,41,10.7559916945353,29,34,48,6,12,-29,-36,-19,-4,-34
2020-07-28,41,9.46879659213407,32,40,63,4,12,-29,-39,-17,-3,-33
2020-07-29,37,39.5914216997376,29,44,37,9,13,-30,-38,-18,-4,-30
2020-07-30,38.5,21.6919777561504,50,43,47,8,12,-30,-35,-16,-1,-28
2020-07-31,41,24.7642945291963,42,36,45,7,12,-28,-32,-13,5,-28
2020-08-01,38,33.0743757598988,37,73,23,7,8,-12,-23,-18,2,-30
2020-08-02,39,31.2726172538251,54,43,35,4,7,-11,-22,-19,-5,-32
