date, pm25, pm10
2018-04-26,3,43
2018-04-27,3,43
2018-04-28,3,21
2018-04-29,3,27
2018-04-30,3,28
2018-05-01,3,51
2018-05-02,3,69
2018-05-03,3,78
2018-05-04,3,50
2018-05-05,3,27
2018-05-06,4,65
2018-05-07,2,54
2018-05-08,2,70
2018-05-09,2,45
2018-05-10,3,58
2018-05-11,3,45
2018-05-12,3,55
2018-05-13,3,45
2018-05-14,3,40
2018-05-15,3,34
2018-05-16,3,46
2018-05-17,3,50
2018-05-18,3,52
2018-05-19,2,50
2018-05-20,3,58
2018-05-21,3,36
2018-05-22,3,28
2018-05-23,3,33
2018-05-24,3,58
2018-05-25,3,45
2018-05-26,3,52
2018-05-27,2,43
2018-05-28,2,48
2018-05-29,2,40
2018-05-30,3,43
2018-05-31,3,49
2018-06-01,3,57
2018-06-02,3,53
2018-06-03,2,39
2018-06-04,2,41
2018-06-05,2,47
2018-06-06,2,51
2018-06-07,2,50
2018-06-08,3,55
2018-06-09,3,52
2018-06-10,2,45
2018-06-11,2,63
2018-06-12,2,49
2018-06-13,3,42
2018-06-14,3,29
2018-06-15,3,30
2018-06-16,3,34
2018-06-17,3,35
2018-06-18,3,33
2018-06-19,3,44
2018-06-20,3,48
2018-06-21,3,21
2018-06-22,3,49
2018-06-23,1, 
2018-06-26,3,31
2018-06-27,3,35
2018-06-28,3,39
2018-06-29,3,45
2018-06-30,3, 
2018-02-12,2,95
2018-02-15,3,44
2018-02-16,3,92
2018-02-17,3,98
2018-02-18,3,66
2018-02-19,3,51
2018-02-20,3,56
2018-02-21,3,51
2018-02-22,3,66
2018-02-23,3,21
2018-02-24,3,38
2018-02-25,3,86
2018-02-26,3,62
2018-02-27,4,54
2018-02-28,3,68
2018-03-01,3,109
2018-03-02,2,101
2018-03-03,2,84
2018-03-04,3,57
2018-03-05,3,57
2018-03-06,3,66
2018-03-07,2,49
2018-03-08,2,54
2018-03-09,2,49
2018-03-10,3,45
2018-03-11,2,63
2018-03-12,2,62
2018-03-13,2,37
2018-03-14,2,51
2018-03-15,3,36
