date, pm25, o3
2018-10-04,30,21
2018-10-05,32,20
2018-10-06,32,21
2018-10-07,36,19
2018-10-08,29,20
2018-10-09,29,18
2018-10-10,26,22
2018-10-11,29,25
2018-10-12,31,25
2018-10-13,26,13
2018-10-14,21,16
2018-10-15,29,11
2018-10-16,27,16
2018-10-17,10,18
2018-10-18,11,13
2018-10-19,11, 
2018-10-22,35,22
2018-10-23,23,23
2018-10-24,17,14
2018-10-25,15,16
2018-10-26,24,26
2018-10-27,27,37
2018-10-28,30,31
2018-10-29,31,30
2018-10-30,23,25
2018-10-31,21,21
2018-11-01,28,25
2018-11-02,20,31
2018-11-03,23,29
2018-11-04,22,27
2018-11-05,25,21
2018-11-06,33,22
2018-11-07,42,18
2018-11-08,53,15
2018-11-09,50,14
2018-11-10,18,18
2018-11-11,20,14
2018-11-12,22,12
2018-11-13,15,26
2018-11-14,14,29
2018-11-15,19,30
2018-11-21,24, 
2018-11-22,24, 
2018-11-23,40, 
2018-11-24,27, 
2018-11-25,29,26
2018-11-26,41,24
2018-11-27,17,25
2018-11-28,30,19
2018-11-29,36,21
2018-11-30,18,23
2018-12-01,42,26
2018-12-02,53,30
2018-12-03,50,32
2018-12-04,25,29
2018-12-05,21,24
2018-12-06,28,25
2018-12-07,39,17
2018-12-08,26,8
2018-12-09,16,20
2018-12-10,24,25
2018-12-11,22,26
2018-12-12,35,23
2018-12-13,25,26
2018-12-14,26,28
2018-12-15,14,29
2018-12-16,37,30
2018-12-17,42,28
2018-12-18,36,15
2018-12-19,33,26
2018-12-20,48,29
2018-12-21,21,28
2018-12-22,20,29
2018-12-23,39,32
2018-12-24,35,26
2018-12-25,32,23
2018-12-26,18,20
2018-12-27,30,27
2018-12-28,35,19
2018-12-29,23,14
2018-12-30,25,12
2018-12-31,45, 
2018-07-02,106,16
2018-07-03,85,16
2018-07-04,76,21
2018-07-05,78,17
2018-07-06,68,15
2018-07-07,51,25
2018-07-08,37,18
2018-07-09,58,15
2018-07-10,73,18
2018-07-11,69,21
2018-07-12,58,16
2018-07-13,60,14
2018-07-14,58,17
2018-07-15,59,15
2018-07-16,102,16
2018-07-17,88,16
2018-07-18,62,19
2018-07-21,23,16
2018-07-22,11,20
2018-07-23,11,20
2018-07-24,13,30
2018-07-25,64,25
2018-07-26,85,34
2018-07-27,61,22
2018-07-28,74,17
2018-07-29,67,19
2018-07-30,42,18
2018-07-31,42,23
2018-08-01,46,33
2018-08-02,42,51
2018-08-03,44,44
2018-08-04,41,19
2018-08-05,48,22
2018-08-06,32,23
2018-08-07,35,20
2018-08-08,38,24
2018-08-09,26,22
2018-08-10,37,20
2018-08-11,48,20
2018-08-12,58,19
2018-08-13,83,17
2018-08-14,75,18
2018-08-15,55,15
2018-08-16,55,17
