date, pm25, o3
2018-07-06,61,65
2018-07-07,60,49
2018-07-08,61,44
2018-07-09,48,31
2018-07-10,57,22
2018-07-11,48,34
2018-07-12,51,32
2018-07-13,45,28
2018-07-14,39,31
2018-07-15,33,27
2018-07-16,41,28
2018-07-17,32,30
2018-07-18,28,29
2018-07-19,43,32
2018-07-20,30,30
2018-07-21,23,26
2018-07-22,12,29
2018-07-23,15,31
2018-07-24,39,40
2018-07-25,52,36
2018-07-26,59,30
2018-07-27,57,43
2018-07-28,48,33
2018-07-29,59,33
2018-07-30,41,30
2018-07-31,40,30
2018-08-01,27,30
2018-08-02,33,26
2018-08-03,46,33
2018-08-04,53,34
2018-08-05,48,36
2018-08-06,47,43
2018-08-07,64,40
2018-08-08,58,31
2018-08-09,54,38
2018-08-10,58,24
2018-08-11,44,28
2018-08-12,32,19
2018-08-13,20,25
2018-08-14,30,23
2018-08-15,21,26
2018-08-16,35,27
2018-08-17,45,25
2018-08-18,51,33
2018-08-19,57,35
2018-08-20,59,35
2018-08-21,67,37
2018-08-22,76,39
2018-08-23,58,39
2018-08-24,59,41
2018-08-25,86,44
2018-08-26,95,41
2018-08-27,66,43
2018-08-28,65,34
2018-08-29,55,30
2018-08-30,47,37
2018-08-31,81,37
2018-09-01,56,37
2018-09-02,76,34
2018-09-03,59,35
2018-09-04,50,34
2018-09-05,43,39
2018-09-06,26,37
2018-09-07,28,40
2018-09-08,43,46
2018-09-09,55,50
2018-09-10,68,37
2018-09-11,59,33
2018-09-12,60,39
2018-09-13,65,42
2018-09-14,43,43
2018-09-15,52,35
2018-09-16,50,35
2018-09-17,39,35
2018-09-18,42,36
2018-09-19,41,39
2018-09-20,39,37
2018-09-21,55,40
2018-09-22,53,43
2018-09-23,51,41
2018-09-24,44,38
2018-09-25,32,34
2018-09-26,39,36
2018-09-27,48,46
2018-09-28,60,43
2018-09-29,55,40
2018-09-30,44,34
2018-10-01,45,30
2018-04-02,48,35
2018-04-03,43,40
2018-04-04,38,39
2018-04-05,54,41
2018-04-06,53,34
2018-04-07,47,23
2018-04-08,33,35
2018-04-09,34,42
2018-04-10,68,56
2018-04-11,80,37
2018-04-12,57,45
2018-04-13,32,47
2018-04-14,42,48
2018-04-15,43,51
2018-04-16,50,39
2018-04-17,36,42
2018-04-18,18,42
2018-04-19,50,40
2018-04-20,21,41
2018-04-21,36,44
2018-04-22,51,44
2018-04-23,57,44
2018-04-24,51,42
2018-04-25,59,43
2018-04-26,67,39
2018-04-27,52,40
2018-04-28,44,39
2018-04-29,62,39
2018-04-30,44,33
2018-05-01,35,44
2018-05-02,38,35
2018-05-03,30,39
2018-05-04,41,48
2018-05-05,60,50
2018-05-06,73,40
2018-05-07,51,37
2018-05-08,42,37
2018-05-09,49,41
2018-05-10,54,36
2018-05-11,61,34
2018-05-12,35,38
2018-05-13,27,40
2018-05-14,20,37
2018-05-15,30,35
2018-05-16,22,36
2018-05-17,21,33
2018-05-18,27,32
2018-05-19,30,34
2018-05-20,36,32
2018-05-21,35,28
2018-05-22,24,33
2018-05-23,26,37
2018-05-24,31,31
2018-05-25,16,31
2018-05-26,13,26
2018-05-27,14,34
2018-05-28,27,36
2018-05-29,41,34
2018-05-30,49,26
2018-05-31,22,32
2018-06-01,25,41
2018-06-02,31,40
2018-06-03,41,37
2018-06-04,53,36
2018-06-05,55,31
2018-06-06,52,39
2018-06-07,39,36
2018-06-08,40,44
2018-06-09,43,47
2018-06-10,51,33
2018-06-11,55,41
2018-06-12,57,43
2018-06-13,53,41
2018-06-14,46,41
2018-06-15,53,34
2018-06-16,50,26
2018-06-17,29,30
2018-06-18,21,33
2018-06-19,29,38
2018-06-20,37,36
2018-06-21,46,42
2018-06-22,54,44
2018-06-23,53,34
2018-06-24,57,34
2018-06-25,41,34
2018-06-26,37,35
2018-06-27,36,39
2018-06-28,37,35
2018-06-29,44,28
2018-06-30,48,29
2018-07-01,40,34
2018-01-02,116,34
2018-01-03,95,24
2018-01-04,79,35
2018-01-05,76,28
2018-01-06,77,20
2018-01-07,80,28
2018-01-08,64,21
2018-01-09,66,31
2018-01-10,18,29
2018-01-11,20,25
2018-01-12,52,25
2018-01-13,55,37
2018-01-17,62,32
2018-01-18,70,36
2018-01-19,56,31
2018-01-20,57,34
2018-01-21,24,34
2018-01-22,40,28
2018-01-23,38,30
2018-01-24,31,34
2018-01-25,25,32
2018-01-26,41,33
2018-01-27,40,32
2018-01-28,38,37
2018-01-29,18,32
2018-01-30,25,30
2018-01-31,34,37
2018-02-01,55,51
2018-02-02,59,38
2018-02-03,54,48
2018-02-04,56,58
2018-02-05,57,44
2018-02-06,65,37
2018-02-07,71,36
2018-02-08,42,40
2018-02-09,41,37
2018-02-10,76,37
2018-02-11,62,34
2018-02-12,52,34
2018-02-13,31,35
2018-02-14,27,31
2018-02-15,45,34
2018-02-16,38,40
2018-02-17,25,44
2018-02-18,31,38
2018-02-19,46,36
2018-02-20,24,37
2018-02-21,23,36
2018-02-22,36,34
2018-02-23,33,38
2018-02-24,27,40
2018-02-25,37,40
2018-02-26,36,43
2018-02-27,47,34
2018-02-28,26,37
2018-03-01,31,37
2018-03-02,36,32
2018-03-03,36,33
2018-03-04,24,37
2018-03-05,13,40
2018-03-06,21,40
2018-03-07,33,30
2018-03-10,15,16
2018-03-11,60,27
2018-03-12,16,28
2018-03-13,38,24
2018-03-14,43,33
2018-03-15,11,37
2018-03-16,15,35
2018-03-17,39,35
2018-03-18,19,37
2018-03-19,16,37
2018-03-20,30,41
2018-03-21,42,45
2018-03-22,43,30
2018-03-23,44,35
2018-03-24,37,37
2018-03-25,22,40
2018-03-26,29,41
2018-03-27,22,43
2018-03-28,35,41
2018-03-29,39,42
2018-03-30,61,40
2018-03-31,56,43
2018-04-01,54,38
2017-10-02,51,37
2017-10-03,44,38
2017-10-04,56,43
2017-10-05,57,57
2017-10-06,59,68
2017-10-07,65,59
2017-10-08,50,44
2017-10-09,66,41
2017-10-10,57,39
2017-10-11,44,37
2017-10-12,64,41
2017-10-13,56,47
2017-10-14,63,54
2017-10-15,74,53
2017-10-16,57,51
2017-10-17,66,50
2017-10-18,69,42
2017-10-19,76,36
2017-10-20,79,29
2017-10-21,32,38
2017-10-22,37,40
2017-10-23,35,36
2017-10-24,31,39
2017-10-25,29,43
2017-10-26,38,50
2017-10-27,74,42
2017-10-28,65,47
2017-10-29,70,47
2017-10-30,66,30
2017-10-31,31,32
2017-11-01,22,30
2017-11-02,24,31
2017-11-03,24,30
2017-11-04,35,30
2017-11-05,31,24
2017-11-06,30,21
2017-11-07,33,13
2017-11-08,53,15
2017-11-09,44,20
2017-11-10,23,30
2017-11-11,28,36
2017-11-12,40,33
2017-11-13,58,30
2017-11-14,74,40
2017-11-15,67,28
2017-11-16,64,34
2017-11-17,65,22
2017-11-18,43,29
2017-11-19,41,35
2017-11-20,55,39
2017-11-21,63,40
2017-11-22,53,32
2017-11-23,32,38
2017-11-24,31,43
2017-11-25,60,32
2017-11-26,64,35
2017-11-27,75,31
2017-11-28,58,28
2017-11-29,43,30
2017-11-30,66,19
2017-12-01,79,30
2017-12-02,90,42
2017-12-03,73,35
2017-12-04,67,34
2017-12-05,65,35
2017-12-06,29,31
2017-12-07,37,36
2017-12-08,34,33
2017-12-09,42,34
2017-12-10,23,34
2017-12-11,19,33
2017-12-12,24,33
2017-12-13,30,36
2017-12-14,48,31
2017-12-15,67,37
2017-12-16,43,32
2017-12-17,70,35
2017-12-18,60,35
2017-12-19,43,34
2017-12-20,71,34
2017-12-21,54,30
2017-12-22,27,31
2017-12-23,32,28
2017-12-24,40,31
2017-12-25,58,48
2017-12-26,102,38
2017-12-27,103,47
