date, pm25, o3, no2
2019-06-25,30,35,18
2019-06-26,43,47,31
2019-06-27,83,41,12
2019-06-28,45,41,13
2019-06-29,43,22,10
2019-06-30,15, , 
2019-01-02,182,35,22
2019-01-03,108,42,32
2019-01-04,82,57,30
2019-01-05,85,67,32
2019-01-06,110,68,32
2019-01-07,88,41,30
2019-01-08,87,46,28
2019-01-09,89,55,22
2019-01-10,109,53,16
2019-01-11,94,64,24
2019-01-12,99,49,26
2019-01-13,97,41,13
2019-01-14,72,30,21
2019-01-15,72,33,18
2019-01-16,76,57,26
2019-01-17,80,47,26
2019-01-18,86,38,26
2019-01-19,74,42,22
2019-01-20,82,47,15
2019-01-21,62,52,30
2019-01-22,88,44,33
2019-01-23,85,47,24
2019-01-24,59,35,27
2019-01-25,80,38,30
2019-01-26,87,41,20
2019-01-27,78,49,19
2019-01-28,65,52,25
2019-01-29,73,56,26
2019-01-30,86,40,20
2019-01-31,62,42,26
2019-02-01,68,47,26
2019-02-02,82,92,30
2019-02-03,114,75,30
2019-02-04,94,61,27
2019-02-05,88,64,32
2019-02-06,103,72,36
2019-02-07,118,58,27
2019-02-08,97,33,17
2019-02-09,64,44,16
2019-02-10,62,63,20
2019-02-11,70,74,28
2019-02-12,89,42,23
2019-02-13,96,47,22
2019-02-14,81,47,27
2019-02-15,102,55,23
2019-02-16,84,70,27
2019-02-17,85,42,13
2019-02-18,61,33,34
2019-02-19,74,33,16
2019-02-20,48,27,18
2019-02-21,53,25,12
2019-02-22,45,34,20
2019-02-23,61,50,17
2019-02-24,69,52,15
2019-02-25,70,48,18
2019-02-26,64,40,23
2019-02-27,61,41,21
2019-02-28,57,66,28
2019-03-01,69,13,36
2019-03-02,114, , 
2019-03-04,69,47,23
2019-03-05,70,68,22
2019-03-06,80,45,22
2019-03-07,73,74,29
2019-03-08,91,59,28
2019-03-09,92,88,25
2019-03-10,95,83,25
2019-03-11,107,79,29
2019-03-12,105,40,21
2019-03-13,95,57,18
2019-03-14,82,73,22
2019-03-15,94,63,18
2019-03-16,101,40,16
2019-03-17,74,74,21
2019-03-18,92,40,14
2019-03-19,71,40,16
2019-03-20,68,64,19
2019-03-21,78,55,16
2019-03-22,75,41,20
2019-03-23,58,60,22
2019-03-24,75,77,18
2019-03-25,66,47,21
2019-03-26,58,43,20
2019-03-27,52,35,17
2019-03-28,68,52,20
2019-03-29,67,77,27
2019-03-30,92,92,24
2019-03-31,119,89,22
2019-04-01,113,56,16
2018-10-02,36,29,14
2018-10-03,34,30,13
2018-10-04,26,32,17
2018-10-05,42,37,20
2018-10-06,47,56,24
2018-10-07,68,72,22
2018-10-08,84,55,23
2018-10-09,73,34,20
2018-10-10,55,42,26
2018-10-11,67,49,26
2018-10-12,81,43,21
2018-10-13,58,27,19
2018-10-14,49,22,11
2018-10-15,25,29,21
2018-10-16,37,47,19
2018-10-17,53,18,12
2018-10-18,26,15,12
2018-10-19,21,13,17
2018-10-20,31, , 
2018-11-08,45,42,22
2018-11-09,61,46,21
2018-11-10,66,51,19
2018-11-11,63,61,17
2018-11-12,81,33,23
2018-11-13,62,25,23
2018-11-14,76,2,13
2018-11-15,62,32,28
2018-11-16,65,40,26
2018-11-17,66,52,22
2018-11-18,64,44,26
2018-11-19,57,57,27
2018-11-20,59,57,34
2018-11-21,86,48,25
2018-11-22,90,65,32
2018-11-23,93,76,33
2018-11-24,99,60,31
2018-11-25,103,37,16
2018-11-26,51,42,28
2018-11-27,83,36,26
2018-11-28,83,21,15
2018-11-29,46,19,12
2018-11-30,25,14,10
2018-12-01,22,27,13
2018-12-02,37,38,18
2018-12-03,52,63,29
2018-12-04,79,67,26
2018-12-05,100,23,21
2018-12-06,74,49,26
2018-12-07,72,27,19
2018-12-08,56,31,18
2018-12-09,55,31,22
2018-12-10,60,37,22
2018-12-11,100,42,24
2018-12-12,119,60,30
2018-12-13,116,31,20
2018-12-14,62,35,25
2018-12-15,74,47,32
2018-12-16,127,69,31
2018-12-17,118,69,41
2018-12-18,120,56,37
2018-12-19,122,34,20
2018-12-20,68,37,28
2018-12-21,73,47,36
2018-12-22,94,71,43
2018-12-23,132,88,46
2018-12-24,151,69,30
2018-12-25,105,82,34
2018-12-26,165,37,29
