date, pm25, pm10, no2
2017-04-03,815,867,36
2017-04-05,815,866,38
2017-04-08,814, ,39
2017-04-20,814,866, 
2017-04-21,814,866, 
2017-04-23,815,866, 
2017-04-26,815,866, 
2017-04-27,816,866, 
2017-05-31,588,470,43
2017-06-01,795,456,43
2017-01-31,48,864,43
2017-02-01,54,865,42
2017-02-02,97,864,42
2017-02-03,323,864,42
2017-02-04,388,865,40
2017-02-05,391, ,38
2017-02-06,814,865,39
2017-02-08,814, ,40
2017-02-09,814, ,40
2017-02-11,814,865,40
2017-02-12,814,865,39
2017-02-13,814, ,38
2017-02-14,814,865,40
2017-02-15,814,865,42
2017-02-16,713, ,42
2017-02-18,814,865,40
2017-02-19,814, ,41
2017-02-20,814,865,41
2017-02-21,814,865,41
2017-02-22,814,865,41
2017-02-23,814,865,41
2017-02-24,814,865,44
2017-02-25,814,865,42
2017-02-26,814, ,39
2017-02-27,814, ,39
2017-02-28,814, ,39
2017-03-01,814, ,39
2017-03-02,814,865,39
2017-03-03,814,865,41
2017-03-05,814,865,39
2017-03-06,814, ,41
2017-03-07,814, , 
2017-03-25,150,498,40
2017-03-26,365,866,38
2017-03-27,814,866,37
2017-03-28,815,866,38
2017-04-01,815,867,38
2016-10-29,35,864,12
2016-10-30,39, ,12
2016-10-31,33, ,13
2016-11-01,46, ,9
2016-11-02,52,864,10
2016-11-03,43,864,9
2016-11-04,29, ,10
2016-11-05,18,864,12
2016-11-06,24,864,9
2016-11-07,30, ,10
2016-11-08,526, ,8
2016-11-12,145, , 
2016-11-17,191,20,14
2016-11-18,47,27,13
2016-11-19,56,17,12
2016-11-20,43,9,16
2016-11-21,27,9,13
2016-11-22,30,23,12
2016-11-23,55,22,13
2016-11-24,57,21,12
2016-11-25,58,23,12
2016-11-26,47,17,15
2016-11-27,41,14,9
2016-11-28,38,24,12
2016-11-29,50,42,17
2016-11-30,220,44,16
2016-12-02,815,45,10
2016-12-03,642,159,15
2016-12-04,510,659,41
2016-12-05,814,540,40
2016-12-06,814,866,40
2016-12-07,777, , 
2020-07-18, ,35,2
2020-05-04, ,29, 
2020-05-25, ,92,1
2020-03-19, ,38, 
2020-01-01, ,22,4
2019-07-16, ,26,22
2019-08-05, ,142,4
2019-08-10, ,22, 
2019-08-14, ,31, 
2019-08-30, ,42,10
2019-09-17, ,16,7
2019-04-22, ,46,3
2019-06-24, ,455,9
2019-01-06, ,16,9
2018-12-12, ,36,12
2018-12-26, ,37,12
2018-07-01, ,66,3
2018-09-17, ,223,10
2018-06-24, ,22,2
2018-01-14, ,879,9
2018-01-19, ,233,14
2018-02-06, ,28,7
2018-03-22, ,19,9
